reaction_nm	reaction_des	reaction_idx
GALCTNLtex	L-galactonate transport via diffusion (extracellular to periplasm)	3651
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	3653
ARBTNtex	Aerobactin secretion (to extracellular)	3673
ABZtex	4 aminobenzoate extracellular to cytosol 	3709
2OBUTtex	2-oxobutanoate transport via diffusion (extracellular to periplasm)	3749
AIRStex	Aminoimidazole riboside transport via diffusion extracellular to periplasm 	3751
PEPtex	Phosphoenolpyruvate transport via diffusion extracellular to periplasm 	3773
ASCBtex	L-ascorbate transport via diffusion (extracellular to periplasm)	3788
FEROXBFEtex	Ferrioxamine B fe transport via diffusion extracellular to periplasm 	3797
FEROXBtex	Ferrioxamine B transport via diffusion extracellular to periplasm 	3798
R5Ptex	Ribose 5-phosphate transport via diffusion (extracellular to periplasm)	3809
THRPtex	Phospho-L-threonine transport via diffusion (extracellular to periplasm)	3812
FECRMUtex	Ferrichrome (minus Fe) secretion (to extracellular)	3824
PSERtex	Phospho-L-serine transport via diffusion (extracellular to periplasm)	3849
O16A4COLIPAabctex	O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	3859
FEROXGtex	Ferrioxamine G transport via diffusion extracellular to periplasm 	3903
ECA4COLIPAabctex	Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	3927
CLIPAtex	Cold lipid A transport via vector (periplasm to extracellular)	3941
COLIPAPabctex	Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)	3943
MMETtex	S-methyl-L-methionine transport via diffusion (extracellular to periplasm)	3982
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	3987
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	3990
RMNtex	L-rhamnose transport via diffusion (extracellular to periplasm)	3995
CYSDtex	D-cysteine transport via diffusion (extracellular to periplasm)	4002
LYXtex	L-Lyxose transport via diffusion (extracellular to periplasm)	4016
THYMtex	Thymine transport via diffusion (extracellular to periplasm)	4080
PEAMNtex	Phenethylamine transport via diffusion (extracellular to periplasm)	4088
26DAHtex	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	4092
ACNAMtex	N-acetylneuraminate transport via diffusion (extracellular to periplasm)	4103
MINOHPtexi	Myo-inositol phosphate transport via diffusion (extracellular to periplasm)	4104
ALLtex	Allose transport via diffusion (extracellular to periplasm)	4112
TAGtex	D Tagatose transport via diffusion extracellular to periplasm 	4117
13PPDtex	1,3-propanediol transporter via diffusion (extracellular to periplasm)	4129
F6Ptex	Fructose 6-phosphate transport via diffusion (extracellular to periplasm)	4144
G6Ptex	Glucose 6-phosphate transport via diffusion (extracellular to periplasm)	4146
GAMAN6Ptex	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)	4148
GDPtex	GDP transport via diffusion (extracellular to periplasm)	4149
GTPtex	GTP transport via diffusion (extracellular to periplasm)	4150
MAN6Ptex	Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	4152
ACGALtex	N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	4163
colipa20Oagtex	O antigen x20 core oligosaccharide lipid A transport periplasm to extracellular 	4167
K2L4Atex	KDO(2)-lipid IV A transport via vector (periplasm to extracellular)	4191
4hoxpactex	4 hydroxyphenylacetate transport via diffusion extracellular to periplasm 	4200
COLIPAtex	Core oligosaccharide lipid A transport via vector (periplasm to extracellular)	4202
ENLIPAtex	Phosphoethanolamine lipid A transport via vector (periplasm to extracellular)	4208
COt_1	Co transport via diffusion (extracellular to periplasm)	4212
O16A4COLIPAtex	O16 antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	4215
LIPAtex	Lipid A transport via vector (periplasm to extracellular)	4234
ECA4COLIPAtex	Enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	4246
ACOLIPAtex	Arabinose modified core oligosaccharide lipid A transport via vector (periplasm to extracellular)	4254
